title,location,size,price
2 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",Rustic 2 Bedroom Furnished Cottage Plus Study,150000.0
6 Bed Townhouse with En Suite at Ndege Road,"Korongo road, Ndege Road, Karen","6 bedroom to let off Ndege road, Karen.",300000.0
5 Bed House with En Suite at Miotoni Rd Karen,"Miotoni rd Karen, Karen",SPACIOUS NEWLY BUILT 5 BEDROOM HOUSE IN KAREN T...,400000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,EXQUISITE! LAVINGTON 5 BEDROOM VILLA FOR RENT I...,180000.0
2 Bed House with En Suite at Miotoni Close,"Miotoni Close, Karen",Glamorous and cozy 2-bedroom furnished cottage,150000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",Furnished 4 Bedroom House,300000.0
5 Bed Townhouse with En Suite at Lavington,Lavington,Modern 5 Bedroom all en suite plus dsq townhous...,250000.0
5 Bed Townhouse with En Suite at Lavington,Lavington,Charming 5 bedroom townhouse to let in Lavingt...,350000.0
4 Bed Villa with En Suite in Lavington,Lavington,Furnished 4 Bedroom Villa for Rent In Lavington,500000.0
6 Bed House with En Suite at Kitisuru Rd,"10077, Kitisuru rd, Kitisuru, Westlands",KITISURU AMBASSADORIAL 6 BEDROOM HOUSE FR RENT,1000000.0
5 Bed Townhouse with Garden in Lavington,Lavington,A Spacious 5bedroom Townhouse,180000.0
4 Bed Townhouse with En Suite in Ridgeways,Ridgeways,4 bedroom all en suite townhouse for rent in Ri...,430000.0
5 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands",Executive 5 Bedroom for rent at Nyari Westland.,430000.0
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",Furnished 4 Bedroom House,300000.0
4 Bed House with Garden in Lavington,Lavington,Lavington 4 Bedroom Semi-furnished Townhouse,130000.0
5 Bed House with En Suite at Karen,Karen,5 Bedrooms plus 2 DSQs Own Compound House For R...,350000.0
3 Bed House with En Suite at Runda Mumwe,"Runda mumwe, Runda, Westlands",Two 3 bedroom houses for rent in Runda,250000.0
6 Bed Townhouse with En Suite at Ndege Road,"Korongo road, Ndege Road, Karen","6 bedroom to let off Ndege road, Karen.",300000.0
5 Bed Villa with En Suite in Lavington,Lavington,Lavington 5Bedroom Villa With SQ,190000.0
4 Bed House with En Suite in Syokimau,Syokimau,4 Bedroom Standalone House + Separate SQ,75000.0
4 Bed Townhouse with En Suite at Runda,"Runda, Westlands",4 Bedrooms Townhouse To Let in Runda,320000.0
4 Bed House with En Suite in Karen,Karen,4 bedroom house for rent in karen,270000.0
3 Bed House with Garden at Near Langata Hospital,"Near Langata Hospital, Langata",3 BEDROOM AND DSQ STANDALONE HOUSE NEWlY RENNOV...,65000.0
4 Bed Townhouse with En Suite at Lavington,Lavington,Executive and classic 4 bedroom Townhouse For r...,320000.0
4 Bed House with Garden in Karen,Karen,4 bedroom house to rent in Karen,250000.0
5 Bed House with En Suite at Kitisuru,"kitisuru, Kitisuru, Westlands",EXCEPTIONAL RESIDENTIAL/COMMERCIAL STAND-ALONE...,450000.0
5 Bed House with En Suite at Pan African,"Pan African, Runda, Westlands",MODERN 5 BEDROOM HOUSE FOR RENT IN RUNDA,400000.0
5 Bed House with En Suite at Kitisuru,"kitisuru, Kitisuru, Westlands",Fully Furnished Five Bedroom Apartment in Kitis...,450000.0
6 Bed House with En Suite in Lavington,Lavington,Commercial 7 Bedroom Standalone House for rent...,800000.0
4 Bed Townhouse with En Suite in Muthaiga,Muthaiga,4 Bedroom Townhouses For Rent In Old Muthaiga,450000.0
