title,location,size,price
5 Bed House with En Suite at Karen Bomas Of Kenya,"Karen bomas of kenya, Karen",5 BEDROOM HOUSE FOR RENT IN KAREN,450000.0
4 Bed Townhouse with Garden in Nyari,"Nyari, Westlands",Nyari westlands 4 bedroom Townhouse for rent,400000.0
5 Bed Townhouse with Garden in Spring Valley,"Spring Valley, Westlands",5 BEDROOM ALL EN-SUITE FOR RENT IN SPRING VALLE...,290000.0
5 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,Newly built villas for rent along kiambu road,120000.0
5 Bed Villa with En Suite at Muthangari Close,"Muthangari Close, Lavington",Lavington - Muthangari Close - 5 Bed Double Sto...,250000.0
4 Bed House with En Suite in Thigiri,"Thigiri, Westlands",Modern and Private! Thigiri Four Bedrooms Stand...,350000.0
7 Bed House with En Suite at Karen Magadi Road,"O, Karen magadi road, Karen",7 BEDROOM HOUSE FOR RENT IN KAREN,300000.0
5 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",5 Bedroom House On 1 Acre,350000.0
4 Bed Townhouse with En Suite in Brookside,"Brookside, Westlands",4 Bedroom Townhouse with Dsq.,200000.0
5 Bed House with En Suite at Karen Bomas Of Kenya,"O, Karen bomas of kenya, Karen",5 BEDROOM HOUSE FOR RENT IN KAREN,300000.0
5 Bed House with En Suite at Kitisuru Road 55,"66, Kitisuru Road 55, Kitisuru, Westlands",LUXURIOUS LIVING,1200000.0
6 Bed Villa with En Suite at Watamu,"Malindi, Watamu",Watamu 6 Bedrooms Beach villa available for Hol...,65000.0
5 Bed Villa with En Suite in Lavington,Lavington,Exquisite 5 Bedroom + 2 SQs to Let in Lavington,250000.0
4 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",Furnished 4 bedroom house for rent,350000.0
5 Bed Townhouse with En Suite at Lavington,Lavington,5 BEDROOM TOWNHOUSE TO LET IN LAVINGTON AT KES...,250000.0
4 Bed Townhouse with En Suite at Rosslyn Redhill Rd,"Rosslyn Redhill rd, Rosslyn, Westlands","4br Townhouse, Rosslyn",350000.0
4 Bed House with En Suite at Bongani Road,"Bongani road, Karen",4 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,340000.0
4 Bed Townhouse with En Suite at Shanzu Road,"0308m/0326p, Shanzu Road, Spring Valley, Westlands",Timelessly designed four bedroom townhouse; Sha...,250000.0
4 Bed Townhouse with En Suite at,"Flame Tree,, Runda, Westlands",Elegant Four Beds Town House for rent in Runda,320000.0
6 Bed Villa with En Suite in Karen,Karen,6 Bedroom Villa for Rent Karen Windy Ridge,240000.0
5 Bed House with En Suite at Karen,"O, Karen",5 BEDROOM HOUSE FOR RENT IN KAREN,450000.0
5 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands",ALL-EN SUITE 5BEDROOM TOWNHOUSE FOR RENT IN LOR...,400000.0
4 Bed House with En Suite at Miotoni Road,"miotoni road, Karen",4 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,400000.0
House in Muthaiga,Muthaiga,4 Bedroom All En Suite + DSq House For Rent - O...,500000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,5 bedroom twonhouse for rent in Lavington,280000.0
4 Bed Villa with En Suite in Lavington,Lavington,Luxury 4 Bedroom Villa For Rent Lavington,650000.0
4 Bed House with En Suite at Dagoretti Road,"Dagoretti road, Karen",4 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,160000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",IMPOSING AND LUSTROUS 5 BEDROOMED VILLA IN A GA...,250000.0
5 Bed House in Riverside,"Riverside, Westlands",5 bedroom house to rent in Riverside,350000.0
4 Bed House with En Suite at Karen Muteero Road,"Karen muteero Road, Karen",4 BEDROOM HOUSE FOR RENT IN KAREN,320000.0
2 Bed House with En Suite at Off James Gichuru Rd,"Off James Gichuru Rd, Lavington",Spacious 2-Bedroom Furnished Executive Cottage...,170000.0
4 Bed House with En Suite in Riverside,"Riverside, Westlands",4 bedroom house to let,190000.0
5 Bed Villa with En Suite in Spring Valley,"Spring Valley, Westlands",Spring valley A Spectacular 5bedrooms Villa lo...,350000.0
5 Bed Townhouse with Swimming Pool in Lavington,Lavington,Lavington in a well secured gated community are...,350000.0
5 Bed House with En Suite at Gigiri,"Gigiri, Westlands","5br House, Gigiri",400000.0
4 Bed House with Garden at Runda,"Runda, Westlands","4br Bungalow, Runda",300000.0
5 Bed Townhouse with En Suite in Rosslyn,"Rosslyn, Westlands",ALL EN-SUITE 5 BEDROOM TOWNHOUSE FOR RENT IN RO...,430000.0
5 Bed House with En Suite at Lower Kabete Road,"09, Lower kabete Road, Lower Kabete, Westlands",Luxury You Can Call Home,800000.0
5 Bed House with En Suite in Karen,Karen,Magnificent 5 bedroom house available to let in...,400000.0
4 Bed Townhouse with En Suite at Lavington,"lavington, Lavington",Town Hse 4bd all ensuite DSQ Mature Garden to l...,150000.0
5 Bed House with Garden at Off Peponi Road,"Off Peponi Road, Westlands Area, Westlands",Fully Furnished 5 Bed Townhouse All En-Suite Of...,350000.0
4 Bed Townhouse with En Suite in Mombasa Road,"Near Panari Hotel, Mombasa Road",Townhouse for Rent,95000.0
5 Bed House with En Suite at Karen Plain,"Karen plain, Karen",5 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,400000.0
4 Bed House with En Suite in Karen,Karen,4 Bedroom House for Rent,250000.0
5 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",TREMENDOUS 5 BEDROOM ALL EN SUITE HOUSE FOR REN...,170000.0
2 Bed House at Langata Road,"Langata road, Karen",Karen rentals,78000.0
5 Bed Villa with En Suite in Runda,"Runda, Westlands",4/5 Bedrooms Villas To Let,330000.0
4 Bed House with En Suite at Nyali,"nyali, Nyali Area, Nyali",Executive 4 bedroom own compound villa in a sh...,280000.0
5 Bed House with En Suite in Lavington,Lavington,Charming and Rustic 5 bedrooms Stand Alone Cott...,450000.0
5 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,5 Bedroom House Plus SQ To Let - Kileleshwa,140000.0
2 Bed House with Garden in Westlands Area,"Westlands Area, Westlands",Fully Furnished & Serviced 2 Bedroom Guest Hous...,95000.0
5 Bed Villa with En Suite at Peponi Road,"77, Peponi road, Westlands Area, Westlands",Peponi road,440000.0
4 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,Killeshwa Modern Town house close to French Sch...,320000.0
3 Bed Townhouse with En Suite at Kilimani,"kilimani, Kilimani",Refurbished Town Hse 3bd all ensuite dsq Garden...,170000.0
5 Bed Townhouse with En Suite at Woodgreen Villas,"78, Woodgreen Villas, Lavington",Start living from the day you walk into this im...,250000.0
5 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,5 bedroom house to rent in Kiambu Road - 3KE154...,180000.0
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",Astounding 4 Bedroom Townhouse For Rent in Spri...,200000.0
4 Bed Townhouse with En Suite at Lavington,"Near Lavington Mall, Mugumo, Lavington",Executive 4 Bedroom Villa for rent in Lavington...,350000.0
5 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands",Lower Kabete; 5 Bedroom plus Study and T.V Room...,350000.0
5 Bed Villa with En Suite at Lavington Green,"Lavington Green, Lavington",Charming 5 bedrooms townhouse plus study room a...,300000.0
5 Bed Townhouse with Garden in Spring Valley,"Spring Valley, Westlands",5 bedroom townhouse to rent in Spring Valley,280000.0
5 Bed House with En Suite at Bomas Of Kenya,"Bomas of kenya, Karen",FIVE BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KE...,280000.0
5 Bed House with En Suite in Muthaiga,Muthaiga,Rustic 5 Bedroom House For Rent in Old Muthaiga,700000.0
4 Bed Townhouse in Spring Valley,"Spring Valley, Westlands",SPRING VALLEY; 4 Bedroom Cottage to Let,300000.0
4 Bed House with En Suite at Pan African,"Pan African, Runda, Westlands",MODERN 4 BEDROOM HOUSE WITH A PRIVATE SWIMMING...,450000.0
4 Bed House with En Suite at Bongani Road,"Bongani road, Karen",HOUSE FOR RENT IN KAREN NAIROBI KENYA,200000.0
4 Bed House with Garden in Nyari,"Nyari, Westlands",4 bedroom house to rent in Nyari,403900.0
5 Bed House with Swimming Pool in Loresho,"Loresho, Westlands",Luxury 5 Bedroom Homes For Sale In Loresho,600000.0
1 Bed House with En Suite at Owashika Road,"Owashika road, Lavington",1 BEDROOM HOUSE- NEAR LAVINGTON MALL.,40000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",Fully Renovated 4 Bedroomed Bungalow For Rent I...,250000.0
5 Bed House with En Suite at Panafrican Insurance,"89, Panafrican Insurance, Runda, Westlands",An Exceptional Runda 5-Bedroom Stand-Alone Home...,400000.0
5 Bed Townhouse in Lavington,Lavington,Lavington; 5 Bedroom Townhouse,350000.0
4 Bed Townhouse with Swimming Pool in Garden Estate,"Garden Estate, Roysambu",Unfurnished 4 Bed Villa,175000.0
5 Bed Townhouse with En Suite at Chalbi Drive,"78, Chalbi Drive, Lavington",.Located in a quiet and well sought after neigh...,200000.0
3 Bed House with En Suite in Westlands Area,"Westlands Area, Westlands",Furnished 3 Bedroom for Rent in Peponi,200000.0
4 Bed Townhouse with En Suite at Westlands Estate.,"0320m/0326p, Brookside Drive, Westlands estate., Brookside, Westlands",23 03004 RF,400000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",5 Bedroom House to Rent with 2 Bedroom Guest Ho...,760800.0
5 Bed Townhouse with En Suite in Lavington,"convent, Lavington",5 Bdrm/ dsq With PRIVATE swimming POOL,325000.0
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",4 Bedroom House Plus 2 Bedroom Guestwing,450000.0
5 Bed House in Rironi,"Rironi, Limuru",House to let 5 br Rironi.,60000.0
4 Bed Townhouse with Garden in Lavington,"Lavington Nairobi, Lavington",A 4bdrm townhouse to let in lavington.,350000.0
4 Bed House with En Suite at Muteero Estate,"Muteero estate, Karen",4 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,320000.0
4 Bed Townhouse with Garden in Lavington,"Lavington Nairobi, Lavington",A 4bdrm townhouse to let in lavington.,350000.0
5 Bed House with En Suite at Karen Silanga Road,"Karen silanga road, Karen",5 BEDROOM HOUSE FOR RENT IN KAREN,200000.0
4 Bed House in Runda,"Runda, Westlands",Modern House On Approximately Half Acre To Let...,181200.0
4 Bed House with En Suite at Karen Plains Road,"Karen Plains Road, Karen","4 Bedroom Villa in Karen All Ensuite, with a 2...",400000.0
3 Bed House with Garden in Garden Estate,"Garden Estate, Roysambu",GARDEN ESTATE:UNFURNISHED 3BEDROOM COTTAGE TO L...,200000.0
4 Bed House with En Suite in Westlands Area,"Westlands Area, Westlands","A BEAUTIFUL 4 BEDROOM HOUSE IN SHANZU GARDENS,...",265000.0
4 Bed House with En Suite in Thigiri,"Thigiri, Westlands",Modern and Private! Thigiri Four Bedrooms Stand...,300000.0
5 Bed House with Swimming Pool at Bomas Of Kenya,"Bomas of Kenya, Karen",5 BEDROOM VILLA FOR RENT IN KAREN NAIROBI KENYA,450000.0
5 Bed Villa with En Suite in Runda,"Runda, Westlands",Amazing Ambassadorial Five Bedroomed Standalone...,400000.0
5 Bed Villa with En Suite in Runda,"Runda, Westlands",Cosy Five Bedroomed Villa,250000.0
5 Bed Townhouse with En Suite at Gated Community Near Braeburn School,"Gated community Near Braeburn School, Lavington",5 Bedroom Townhouse for Rent in Lavington Gated...,385000.0
2 Bed House with En Suite at Off Langatta,"Off langatta, Karen",2 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,60000.0
5 Bed Townhouse with En Suite in Rosslyn,"Rosslyn, Westlands",5 Bedroom for Rent Rosslyn Red Hill,350000.0
4 Bed Villa with En Suite at Boabab,"8898, BOABAB, Runda, Westlands",A HOME AWAY FROM HOME; ATTRACTIVE MODERN FOUR B...,350000.0
5 Bed Villa with En Suite in Karen,Karen,5 Bedrooms House in karen in Quiet Serene locat...,350000.0
4 Bed House with En Suite in Brookside,"01, Brookside, Westlands",5 bedroom Master Bedroom En-suite Townhouse,150000.0
4 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands",SPECTACULAR AND MODERN FOUR-BEDROOM TOWNHOUSE I...,210000.0
4 Bed Townhouse with En Suite in Lavington,Lavington,Rustic 4 Bedroom Town House For Rent,230000.0
5 Bed House with En Suite at Karen Ololua Estate,"Karen ololua estate, Karen",5 BEDROOM HOUSE FOR RENT IN KAREN,350000.0
5 Bed Townhouse with En Suite at Kerarapon,"Kerarapon, Karen",5 BEDROOM ALL EN-SUITE TO LET IN KAREN AT KSH 3...,300000.0
3 Bed House with En Suite in Karen,Karen,Modern Cottage,105000.0
4 Bed House with Swimming Pool in Runda,"Runda Nairobi, Runda, Westlands",A 4bdrm ambassadorial house to let in runda.,500000.0
4 Bed House with En Suite at Karen Bomas Of Kenya,"Karen Bomas of Kenya, Karen",4 BEDROOM HOUSE FOR RENT IN KAREN,200000.0
4 Bed House with En Suite at Peponi Road,"Peponi Road, Westlands Area, Westlands",Charming Home! Peponi Four Bedrooms Family Home...,250000.0
5 Bed Villa with En Suite in Lower Kabete,"Lower Kabete, Westlands",Lower kabete near peponi school executive 5bedr...,290000.0
4 Bed House with En Suite at Karen Bomas Of Kenya,"O, Karen Bomas of Kenya, Karen",4 BEDROOM HOUSE FOR RENT IN KAREN,200000.0
4 Bed Villa with En Suite in Runda,"Runda, Westlands",MODERN AND COSY FIVE BEDROOMED STANDALONE VILLA,300000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",5Br Standalone house in Runda,350000.0
7 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",7 BEDROOM LAVISH AMBASSADORIAL HOUSE FOR SALE O...,1000000.0
4 Bed House with En Suite in Riverside,"Riverside Drive, Riverside, Westlands",4 bedroom maisonette to let along Riverside Dri...,90000.0
5 Bed House with En Suite at Kabaserian,"Kabaserian, Lavington",Extremely beautiful 5 bedrooms house plus famil...,345000.0
5 Bed House with En Suite at Gigir Road,"Gigir road, Gigiri, Westlands",Gigiri executive 5 bedroom house in a gated com...,480000.0
4 Bed Villa with En Suite in Lavington,Lavington,Fully furnished Luxurious villa for rent in lav...,400000.0
5 Bed House with En Suite at Karen Bongani Road,"Karen Bongani road, Karen",5 BEDROOM HOUSE FOR RENT IN KAREN,300000.0
5 Bed Townhouse with Garden in Westlands Area,"Westland Nairobi, Westlands Area, Westlands",A 5bdrm townhouse to let in westland.,270000.0
5 Bed House with En Suite in Muthaiga,Muthaiga,Five Bedrooms House To Let In Muthaiga,250000.0
4 Bed Townhouse with En Suite in Brookside,"Brookside, Westlands",A Modern 4 Bedroom Townhouse + DSQ located in W...,250000.0
5 Bed Townhouse with En Suite at Lavington Green,"Lavington Green, Lavington",Stylishly designed 5 bedrooms townhouse plus fa...,368000.0
3 Bed Townhouse with En Suite in Runda,"Runda, Westlands",3 bed house,150000.0
5 Bed House in Lower Kabete,"Lower Kabete, Westlands",5 Bedroom for rent on lower kabete road,150000.0
4 Bed Villa with En Suite in Kikuyu Town,"Kikuyu Town, Kikuyu",Four Bedroom + DSQ To Let In Sigona,75000.0
5 Bed Villa with En Suite in Lavington,Lavington,Modern living in the heart of the city Modern...,380000.0
4 Bed Villa with En Suite in Nyali Area,"Nyali Area, Nyali","4 Bedroom Villa for Rent in Nyali, Mombasa",230000.0
3 Bed Villa with En Suite at La-Marina Mtwapa,"La-marina, La-marina Mtwapa, Mtwapa",3 Bedroom cottage in La-marina available for lo...,80000.0
4 Bed House with En Suite in Kilimani,Kilimani,4 Bedroom Town House For Rent,180000.0
4 Bed Townhouse at,"Wood Vale road,, Runda, Westlands","Runda, Town House for Rent.",375000.0
6 Bed House with En Suite at Karen,"O, Karen",6 BEDROOM FOR RENT IN KAREN,450000.0
4 Bed House with En Suite at Kirichwa Gardens,"1, Kirichwa Gardens, Kilimani",4 Bedroom Townhouse For Rent In Kilimani,100000.0
4 Bed House with En Suite at Kitusuru Road,"1, Kitusuru Road, Kitisuru, Westlands",Exclusive 4 Bedrooms designer Town house to let...,400000.0
4 Bed House with En Suite at Mutero Road,"mutero road, Karen",4 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,320000.0
4 Bed Townhouse with En Suite in Lavington,Lavington,"4 BEDROOM TOWNHOUSE + DSQ TO LET IN LAVINGTION,...",200000.0
5 Bed House with En Suite at Ushirka Road,"Ushirka road, Karen Hardy",5 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,450000.0
4 Bed House with En Suite at Lake View,"Lake view, Kitisuru, Westlands",Lovely 4 bedroom cottage with beautiful spaces...,300000.0
2 Bed House with En Suite at Miotoni Road,"miotoni road, Karen",2 BEDROOM COTTAGE FOR RENT IN KAREN NAIROBI KEN...,65000.0
5 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands",5Bedroom Villa to Let in Lower Kabete,550000.0
3 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,3Bedroom plus dsq Maisonette to Let in Kilelesh...,135000.0
3 Bed House with En Suite at Karen,Karen,3 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,300000.0
6 Bed House with En Suite in Karen,Karen,6 bedroom house to rent in Karen (Kenya) 3KE161...,675681.0
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",RUNDA; 4 Bedroom Townhouse to Let,220000.0
4 Bed House with Garden in Runda,"Runda, Westlands",4 BEDROOM RENOVATED STAND-ALONE HOUSE FOR RENT...,300000.0
5 Bed Villa at Lavington Green,"Lavington Green, Lavington",Extremely beautiful 5 bedrooms house plus famil...,510000.0
5 Bed House with En Suite at Peponi Rd,"Peponi Rd, Kitisuru, Westlands",WONDERFUL 5 BEDROOM TOWNHOUSE FOR RENT ON PEPON...,480000.0
3 Bed House with En Suite at Three De Lane,"Three de lane, Karen",3 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,65000.0
4 Bed House with En Suite in Lake View,"Lake View, Westlands",Charming 4 Bedroomed Bungalow For Rent In Lake...,320000.0
4 Bed Townhouse with En Suite in Kikuyu Town,"Kikuyu Town, Kikuyu",Spacious Four Bedroom Townhouse To Let Kikuyu,65000.0
4 Bed House with En Suite at Runda,"Runda, Westlands",5 Bedrooms House To Let in Runda,400000.0
4 Bed Townhouse with En Suite at Kandara Road,"Kandara road, Kileleshwa",Spacious 4 bedroom townhouse for rent in Kilele...,110000.0
5 Bed Townhouse with En Suite at Kaputei Gardens,"55, Kaputei Gardens, Lavington",Tucked away in a serene gated community sits th...,300000.0
3 Bed House with Garden in Westlands Area,"Westlands Area, Westlands","WESTLANDS, 3 BEDROOM MASIONATE FOR RENT",75000.0
5 Bed House with En Suite at Karen,Karen,5 BEDROOM HOUSE FOR RENT IN KAREN,450000.0
5 Bed Villa with En Suite at Riara,"Riara, Kilimani",Magnificent secure Test-fully furnished 5 bedro...,275000.0
6 Bed Townhouse with En Suite in Lavington,Lavington,6 Bedroom Townhouse for rent in Lavington,450000.0
4 Bed House with En Suite in Kiambu Road,Kiambu Road,AN ELEGANT MODERN FOUR BEDROOM VILLA OFF KIAMBU...,180000.0
2 Bed House with En Suite in Kilimani,Kilimani,A modern and spacious 2 bedroom penda house for...,55000.0
2 Bed House with En Suite in Runda,"Runda, Westlands",2 BEDROOM ALL EN-SUITE COTTAGE FOR RENT IN RUND...,170000.0
2 Bed House with En Suite at Mukoma Road,"mukoma road, Karen",2 BEDROOM FURNISHED COTTAGE FOR RENT IN KAREN N...,160000.0
4 Bed Townhouse with En Suite in Lavington,Lavington,An Elegant 4Bedroom plus dsq Townhouse to Let i...,135000.0
4 Bed Townhouse with En Suite at Kiambu Road,"Kiambu road, Kiambu Road","4br FurnishedTownhouse, Kiambu Road",350000.0
4 Bed Townhouse with En Suite in Thika Road,Thika Road,4 bedroom townhouse to rent in Garden City - 3K...,175000.0
1 Bed House with En Suite at Lone Tree,"Lone tree, Rosslyn, Westlands",Rosslyn lone tree spacious fully furnished & se...,120000.0
2 Bed House with En Suite at Karen Kephis,"Karen kephis, Karen",2 BEDROOM FOR RENT IN KAREN,35000.0
3 Bed House with En Suite in Karen,Karen,THREE BEDROOM COTTAGE FOR RENT IN KAREN,100000.0
5 Bed Villa with En Suite in Lower Kabete,"Lower Kabete, Westlands",5 BEDROOM VILLA FOR RENT LOWER KABETE,350000.0
4 Bed House with En Suite at Karen,Karen,4 BEDROOM HOUSE FOR RENT IN KAREN,350000.0
4 Bed House with Garden in Garden Estate,"Garden Estate, Roysambu",4 bedroom house to rent in Garden Estate,300000.0
4 Bed Villa with En Suite in Lavington,Lavington,4 Bedrooms Villa Gated community of 4 Units wit...,330000.0
4 Bed Townhouse with En Suite at Brookside Drive,"A 70, Brookside Drive, Westlands Area, Westlands",Four bedroom townhouse,250000.0
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",Spring valley /peponi a modern well thought 4be...,350000.0
4 Bed House with Garden in Muthaiga,Muthaiga,Stand alone house,350000.0
5 Bed Townhouse with En Suite at Kitisuru Road,"Kitisuru road, Kitisuru, Westlands",5 Bedrooms House,400000.0
6 Bed House with Garden in Lavington,"Lavington Nairobi, Lavington",A 6bdrm ambassadorial house to let in lavington...,550000.0
4 Bed House with En Suite at Ndenge Road,"O, Ndenge road, Karen",4 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,350000.0
3 Bed House in Karen,Karen,Karen rentals,130000.0
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,4 Bedroom Townhouse to rent in Kiambu Road,250000.0
4 Bed House with En Suite at Miotoni Road,"miotoni road, Karen",4 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,280000.0
4 Bed Townhouse with Garden in Spring Valley,"Peponi gardens Nairobi, Spring Valley, Westlands",A luxurious 4bdrm townhouse to let in spring va...,3500.0
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",Kitisuru executive 4bedrooms plus servant quart...,400000.0
4 Bed Townhouse with En Suite in Lavington,Lavington,4 BEDROOMS,230000.0
5 Bed House with En Suite in Karen,Karen,Simplicity,200000.0
2 Bed House with En Suite at Mimosa Runda,"Mimosa runda, Runda, Westlands",Fully Furnished and serviced 2 bedroom Geust wi...,150000.0
4 Bed Townhouse with En Suite at Riara Makini Schools,"09, Riara Makini Schools, Lavington","LAVINGTON NEAR MAKINI AND RIARA SCHOOLS,",180000.0
1 Bed House with En Suite at Runda,"Runda, Westlands",1br Furnished House Runda,120000.0
3 Bed House with En Suite in Ridgeways,Ridgeways,3Bedroom all En-suite for Rent in Ridgeways,450000.0
4 Bed House with En Suite at Karen Fair Acres,"O, Karen fair acres, Karen",4 BEDROOM HOUSE FOR RENT IN KAREN,200000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",4 Bedroom Villa For Rent in Windsor,590000.0
5 Bed House with En Suite in Karen,Karen,kAREN 5BEDROOM HOUSE TO LET,180000.0
5 Bed House in Karen,Karen,Karen rentals,150000.0
5 Bed Villa with En Suite in Rosslyn,"Rosslyn, Westlands",Villa in a gated community,410000.0
5 Bed Villa with En Suite in Karen Hardy,Karen Hardy,5 BEDROOM VILLA FOR RENT KAREN HARDY,250000.0
4 Bed House with En Suite in Kyuna,"Kyuna, Westlands",New Listing! Homely 4-Bedroom Townhouse for ren...,260000.0
4 Bed Townhouse with En Suite in Muthaiga,Muthaiga,4 bedroom townhouse to rent in Muthaiga,500000.0
4 Bed Townhouse with Garden in Lavington,Lavington,A 4bedroom Townhouse To Let,120000.0
4 Bed House with En Suite in Muthaiga,Muthaiga,Muthaiga in a nice gated community 4bedrooms tw...,380000.0
4 Bed Townhouse with En Suite in Kilimani,Kilimani,Kilimani a homely spacious 4bedrooms plus dsq a...,260000.0
4 Bed House with En Suite at Miotoni Road,"miotoni road, Karen",4 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,400000.0
4 Bed House with En Suite at Bomas Of Kenya,"Bomas of kenya, Karen",4+DSQ FOR RENT IN KAREN NAIROBI KENYA,250000.0
5 Bed House with En Suite at Karen Plain,"Karen plain, Karen",5 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,400000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,5Bedroom plus dsq Townhouse to let in Lavington,250000.0
3 Bed House with En Suite in Kilimani,Kilimani,3 Bedrooms,300000.0
5 Bed House with En Suite in Ruiru,Ruiru,5 BEDROOM HOUSE WITH DSQ TO LET IN RUIRU,100000.0
5 Bed House with En Suite at Ndenge Road,"Ndenge road, Karen",FIVE BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KE...,300000.0
3 Bed House with En Suite in Kilimani,Kilimani,3 Bedroom Newly Renovated House in Kilimani for...,150000.0
4 Bed Townhouse in General Mathenge,"General Mathenge, Westlands",Furnished 4-bedroom Townhouse For Rent in Gener...,300000.0
5 Bed House with Swimming Pool in Kiambu Road,Kiambu Road,Magnificent 5 Bedroom To Let along Kiambu Road,200000.0
4 Bed Townhouse with Garden in Nyari,"Nyari, Westlands",Nyari estate in a well gated community executiv...,320000.0
1 Bed House with En Suite in Runda,"Runda, Westlands",Furnished One Bedroom Unit To Let in Runda,60000.0
3 Bed Villa with En Suite at Ridge,"Vipingo, Ridge",Fully furnished villa available for long-term r...,150000.0
6 Bed House with En Suite in Karen,Karen,new 6 bedrooms double story for rent in Karen,380000.0
3 Bed House in Ngong,Ngong,It is 3 bedrooms with servant quater behind on...,40000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,5 bedrooms townhouse for rent in LAVINGTON,280000.0
3 Bed House with En Suite in Lake View,"Lake View, Westlands","3 Bedroom House For Rent Lake View Estate, Kiti...",300000.0
4 Bed Townhouse with En Suite in Gikambura,"Gikambura, Kikuyu",Four Bedroom House To Let,70000.0
4 Bed Townhouse with En Suite at Dennis Pritt Road,"A 70, Dennis Pritt Road, Kilimani",A four bedroom townhouse,180000.0
3 Bed House with En Suite at Hardy,"Karen,hardy, Karen",3 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,300000.0
4 Bed House with En Suite at Bomas Of Kenya,"Bomas of kenya, Karen",4 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,200000.0
3 Bed House in Langata,Langata,Three Bedroom +DSQ,80000.0
2 Bed House with Garden at Nyari,"Nyari, Westlands",2 Bedroom Furnished Guest House,140000.0
5 Bed Villa with En Suite in Runda,"Runda, Westlands",Imposing And Cosy Five Bedroomed Standalone V...,300000.0
4 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,Magnificent 4Bedroom Maisonette to Let in Kilel...,120000.0
4 Bed Townhouse with En Suite at Kiambu Rd,"Kiambu Rd, Kiambu Road",4 Bedroom Townhouse with DSQ To Let Along Kiam...,220000.0
5 Bed House with En Suite at Marist Road,"Marist road, Karen",5 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,450000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,Luxurious 5 bedroom townhouse for rent in Lavin...,280000.0
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,Homely 4 Bedroom Villa for rent in Kiambu Road...,160000.0
2 Bed House with En Suite at Runda,"Pan Africa Lane,Runda, Runda, Westlands","Furnished 2br, Geust Wing,Runda",150000.0
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",4 BEDROOM TOWNSHOUSE FOR RENT RUNDA PARADISE,300000.0
4 Bed House with En Suite at Komrades Villas,"Komrades Villas, Ruiru","4 Bedroom Townhouse with Dsq For Rent In Ruiru,...",105000.0
2 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,KILELESHWA; 2 Bedroom semi furnished House with...,150000.0
